platform filter|title|age|releaseDate|BADLANGUAGE|DISCRIMINATION|DRUGS|FEAR|GAMBLING|SEX|VIOLENCE|INGAMEPURCHASES|content|publisher|platform list
Nintendo Wii U|Tekken Tag Tournament 2 Wii U Edition|16|30/11/2012|N|N|N|N|N|N|Y|N|Arcade style beat em up with martial arts based violence.|BANDAI NAMCO ENTERTAINMENT EUROPE S.A.S.|Nintendo Wii U
Nintendo Wii U|Sports Connection|3|30/11/2012|N|N|N|N|N|N|N|N||Ubisoft EMEA|Nintendo Wii U
Nintendo Wii U|Assassinâs CreedÂ® III|18|30/11/2012|Y|N|N|N|N|N|Y|N|Fifth installment of the Assassin's Creed series.|Ubisoft EMEA|Nintendo Wii U
Nintendo Wii U|Game Party Champions|3|30/11/2012|N|N|N|N|N|N|N|N||Warner Brothers Entertainment UK Ltd|Nintendo Wii U
Nintendo Wii U|Disney Epic Mickey 2: The Power of Two|7|30/11/2012|N|N|N|N|N|N|Y|N||The Walt Disney Company Ltd|Nintendo Wii U
Nintendo Wii U|Sonic &amp; All-Stars Racing Transformed|7|30/11/2012|N|N|N|Y|N|N|Y|N||SEGA Europe Ltd|Nintendo Wii U
Nintendo Wii U|Family Party: 30 Great Games Obstacle Arcade|7|30/11/2012|N|N|N|N|N|N|Y|N||BANDAI NAMCO ENTERTAINMENT EUROPE S.A.S.|Nintendo Wii U
Nintendo Wii U|NBA2K13|3|30/11/2012|N|N|N|N|N|N|N|N||Take2 Interactive Software Europe ltd|Nintendo Wii U
Nintendo Wii U|Little Inferno|12|30/11/2012|N|N|N|N|N|N|Y|N|The player is presented with a virtual fireplace in which he is required to burn a variety of objects from old toys to other flammable items. The acquisition of sufficient points then allows the player...|Experimental Gameplay Group, LLC (DBA: Tomorrow Corporation, LLC)|Nintendo Wii U
Nintendo Wii U|Chasing Aurora|3|30/11/2012|N|N|N|N|N|N|N|N||Broken Rules Interactive Media GmbH|Nintendo Wii U
